"Volume_Name","Volume_Type","Runway_Name","Point_Sequence","Latitude","Longitude","Min_Altitude","Max_Altitude"
"09L_N_Base_1c","PLT","R09L",1,0.898418,-0.0149783,-152.400009155273,2042.16003417969
"09L_N_Base_1c","PLT","R09L",2,0.900161,-0.0150089,-152.400009155273,2042.16003417969
"09L_N_Base_1c","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2042.16003417969
"09L_N_Base_1c","PLT","R09L",4,0.898376,-0.0200953,-152.400009155273,2042.16003417969
"09L_N_Base_1c","PLT","R09L",5,0.898418,-0.0149783,-152.400009155273,2042.16003417969
"09L_N_Base_2","PLT","R09L",1,0.900187,-0.0103465,-152.400009155273,2042.16003417969
"09L_N_Base_2","PLT","R09L",2,0.900119,-0.0201371,-152.400009155273,2042.16003417969
"09L_N_Base_2","PLT","R09L",3,0.898376,-0.0200953,-152.400009155273,2042.16003417969
"09L_N_Base_2","PLT","R09L",4,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_N_Base_2","PLT","R09L",5,0.900187,-0.0103465,-152.400009155273,2042.16003417969
"09L_N_Ext_Base","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2286
"09L_N_Ext_Base","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2286
"09L_N_Ext_Base","PLT","R09L",3,0.896633,-0.0200537,-152.400009155273,2286
"09L_N_Ext_Base","PLT","R09L",4,0.896701,-0.0103057,-152.400009155273,2286
"09L_N_Ext_Base","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2286
"09L_N_Ext_Inter","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2286
"09L_N_Ext_Inter","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2286
"09L_N_Ext_Inter","PLT","R09L",3,0.896633,-0.0200537,-152.400009155273,2286
"09L_N_Ext_Inter","PLT","R09L",4,0.896701,-0.0103057,-152.400009155273,2286
"09L_N_Ext_Inter","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2286
"09L_N_Intercept","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_N_Intercept","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2042.16003417969
"09L_N_Intercept","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2042.16003417969
"09L_N_Intercept","PLT","R09L",4,0.900187,-0.0103465,-152.400009155273,2042.16003417969
"09L_N_Intercept","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_S_Base_1a","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,1432.56005859375
"09L_S_Base_1a","PLT","R09L",2,0.896701,-0.0103057,-152.400009155273,1432.56005859375
"09L_S_Base_1a","PLT","R09L",3,0.896686,-0.013091,-152.400009155273,1432.56005859375
"09L_S_Base_1a","PLT","R09L",4,0.89843,-0.0131174,-152.400009155273,1432.56005859375
"09L_S_Base_1a","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,1432.56005859375
"09L_S_Base_1b","PLT","R09L",1,0.89843,-0.0131174,-152.400009155273,1737.35998535156
"09L_S_Base_1b","PLT","R09L",2,0.896686,-0.013091,-152.400009155273,1737.35998535156
"09L_S_Base_1b","PLT","R09L",3,0.896675,-0.0149478,-152.400009155273,1737.35998535156
"09L_S_Base_1b","PLT","R09L",4,0.898418,-0.0149783,-152.400009155273,1737.35998535156
"09L_S_Base_1b","PLT","R09L",5,0.89843,-0.0131174,-152.400009155273,1737.35998535156
"09L_S_Base_1c","PLT","R09L",1,0.898418,-0.0149783,-152.400009155273,2042.16003417969
"09L_S_Base_1c","PLT","R09L",2,0.896675,-0.0149478,-152.400009155273,2042.16003417969
"09L_S_Base_1c","PLT","R09L",3,0.896633,-0.0200537,-152.400009155273,2042.16003417969
"09L_S_Base_1c","PLT","R09L",4,0.898376,-0.0200953,-152.400009155273,2042.16003417969
"09L_S_Base_1c","PLT","R09L",5,0.898418,-0.0149783,-152.400009155273,2042.16003417969
"09L_S_Base_2","PLT","R09L",1,0.896701,-0.0103057,-152.400009155273,2042.16003417969
"09L_S_Base_2","PLT","R09L",2,0.896633,-0.0200537,-152.400009155273,2042.16003417969
"09L_S_Base_2","PLT","R09L",3,0.898376,-0.0200953,-152.400009155273,2042.16003417969
"09L_S_Base_2","PLT","R09L",4,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_S_Base_2","PLT","R09L",5,0.896701,-0.0103057,-152.400009155273,2042.16003417969
"09L_S_Ext_Base","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2286
"09L_S_Ext_Base","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2286
"09L_S_Ext_Base","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2286
"09L_S_Ext_Base","PLT","R09L",4,0.900187,-0.0103465,-152.400009155273,2286
"09L_S_Ext_Base","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2286
"09L_S_Ext_Inter","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2286
"09L_S_Ext_Inter","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2286
"09L_S_Ext_Inter","PLT","R09L",3,0.900119,-0.0201371,-152.400009155273,2286
"09L_S_Ext_Inter","PLT","R09L",4,0.900187,-0.0103465,-152.400009155273,2286
"09L_S_Ext_Inter","PLT","R09L",5,0.898444,-0.0103261,-152.400009155273,2286
"09L_S_Intercept","PLT","R09L",1,0.898444,-0.0103261,-152.400009155273,2042.16003417969
"09L_S_Intercept","PLT","R09L",2,0.898376,-0.0200953,-152.400009155273,2042.16003417969
